comentario;nota;data
A vista é muito bonita, mas tem melhores. A experiência com o elevador não foi nada do que eu imaginava: é um elevador normal e estavam tocando funk no último volume.;3.0;mar de 2023
Ponto bem interessante! Muito organizado, útil e bem estruturado! Bom para turistas e para a população local! E a vista para baía-de-todos-os-santos é maravilhosa;5.0;mar de 2023
Perfeição! Sem dúvida a vista mais linda que eu já vi até hoje! É perfeito demais! Sugiro contratar os fotógrafos pra acompanharem o passeio, pois você consegue fotos incríveis!;5.0;out de 2022
O elevador em si, é interessante, um ponto histórico. Porém, como tudo em Salvador, nada é dito, não tem placa explicativa da história do lugar. O ponto para se tirar foto, é fedido! Cheiro de xixi fortíssimo, a ponto de precisar sair de perto pra respirar. Pra tirar foto tem que prender a respiração, fingir um sorriso e sair correndo. E tem que tirar a foto num ângulo específico, que não apareça nada mais de edificações, porque tudo está caindo aos pedaços, literalmente. Uma tristeza, uma cidade histórica tão largada;2.0;dez de 2022
Uma vista incrível.Não é só para embelezar, é um meio de transporte barato e rápido que liga a parte baixa da cidade a parte altaEntretanto, é uma avalanche de gente querendo te pintar, te vender , te roubar . Vc pisca e ja te roubam a água Precisava ter uma estrutura turística melhor emseu entorno;4.0;fev de 2023
É uma maneira rápida e fácil de subir ou descer para o Pelourinho. A vista de cima é linda e embaixo tem o Mercado Modelo para quem gosta de artesanato;3.0;jan de 2023
Subir o elevador e ver o pôr do sol e a paisagem do bairro do Comércio tomando um sorvete d'A Cubana depois de ter visitado o museu cidade da música.;5.0;fev de 2023
Como estar em Salvador a passeio e não passar por ele?Claro que é mais bonito por fora do que por dentro mas mesmo assim é uma experiência a ser feita por quem visita Salvador. Prático e barato para descer do Pelourinho e ir ao Mercado ou vice-versa.;5.0;fev de 2023
Belíssima vista do alto, antes de pegar o elevador que liga a cidade alta a cidade baixa em Salvador.  Tem uma taxa de 0,15 para utilização, e o elevador não é panorâmico. O que vale muito é a vista lá do alto e depois embaixo. As fotos ficam lindas, é de frente para o cais.;5.0;jan de 2023
Após visitarmos o Mercado Modelo, fomos ao Elevador Lacerda.Paga-se uma taxa irrisória de R$ 0,15 por pessoa para usar o elevador.A estrutura tem uma arquitetura interessante.Lá de cima, temos uma linda vista da Baía de Todos os Santos e de Salvador.Um dos pontos turísticos e símbolos de Salvador, vale a pena a visita.;4.0;jan de 2023
É bacana pra conhecer , tirar umas fotos e também utilizar do elevador ( R$ 0.15 ) o valor do passeio.Isso mesmo Quinze centavos.Por tanto acho válida a experiencia.;4.0;dez de 2022
Lugar lindo! Bela paisagem eu amei, só perde pontos pelos engana turistas, que querem pintar seu braço, ler sua mão e fotos com bahiana. Tudo isso, pra tirar nosso dinheiro! A melhor forma e ser mal educada e não dar bola. Pois, quando você diz que não vai pagar, eles mudam o tratamento com você, só falta arrancar sua alma!;4.0;nov de 2022
"Chegando pela parte baixa(praia) na saída do mercado modelo, Baianas mal educadas te agarram pelo braço, e pegam sua mão oferecendo uma ""benção"" gratuita ( que não será! ) Se você tenta argumentar com educação, será ainda mais pressionado, e as vezes acoado por mais que uma . Péssima, horroroso, bizzarro, um show de horrores.   O segredo é ser grosseiro, desviar e se desgarrar caso elas segurem seu braço, embora elas vão te xingar , é a melhor forma de se desvincilhar da situação constrangedora. Se você conseguir chegar inteiro até o elevador, paga uma taxa simbólica de R$0,15 ( em novembro de 2022 ) e sobe pra parte histórica da cidade. O elevador NÃO É panoramico, chegando a ser meio claustrofóbico, levando em consideração que os fiscais do local super lotam o mesmo a cada viagem. Chegando na parte de cima, uma belissima fotografia!!! A UNICA parte boa da experiência. Na sequencia você será assediado por guias insuportáveis, que não vão aceitar o seu ""NÃO, OBRIGADO AMIGO"" e vão te seguir e insisitir para que  você faça a visita guiada ( que não vale a pena)  e só vão te deixar em paz quando você sair andando e chegar até .... O proximo guia, que vai fazer exatamente as mesmas coisas que o anterior, e será assim por quanto tempo você estiver por lá... Fora que todos eles amedrontam os visitantes falando que sem eles você provavelmente será assaltado. Pra não dizer que vai ser o tempo todo, você terá um pouco de paz DELES, quando estiver sendo assediado pelas bahianas da parte de cima que oferecem fotos gratuitas( que serão cobradas) ou pelos pintores do olodum com suas pinturas gratuitas que custam R$25,00 , ou os capoeiristas da praça, todos oferecendos fotos ""gratuitas"" que depois de tiradas custarão quanto eles acharem que você pode pagar.. A parte histórica da coisa, sim, essa é fenomenal! Mas se perde em meio ao show de horrores e assédios que você vive indo até o local .";1.0;nov de 2022
Rápido e barato! Apenas R$0,15 pra descer ou subir! Uma pena não ser panorâmico. Bem cuidado. Une a parte de cima com a debaixo da cidade.;4.0;out de 2022
Serviço barato, acessível a todos. Opte por levar moedas (custou 15 centavo). Dá acesso ao Pelourinho. Paisagem bacana. Achei apenas os vitrôs um pouco sujos. ;4.0;out de 2022
